Y,Z,rho,std
0.0,0.0,168,168.050
5.0,0.0,168,168.050
15.0,0.0,168,168.050
25.0,0.0,211,211.120
35.0,0.0,353,353.150
45.0,0.0,505,504.740
55.0,0.0,124,124.460
65.0,0.0,80,80.401
75.0,0.0,61,60.806
85.0,0.0,66,66.440
95.0,0.0,89,89.427
105.0,0.0,74,73.699
115.0,0.0,200,200.010
125.0,0.0,428,428.220
135.0,0.0,424,423.730
145.0,0.0,537,536.930
155.0,0.0,408,407.580
165.0,0.0,255,255.070
175.0,0.0,300,300.460
185.0,0.0,1158,1.158.400
190.0,0.0,1158,1.158.400
200.0,0.0,1158,1.158.400
0.0,-1.709,168,168.050
5.0,-1.709,168,168.050
15.0,-1.709,168,168.050
25.0,-1.709,211,211.120
35.0,-1.709,353,353.150
45.0,-1.709,505,504.740
55.0,-1.709,124,124.460
65.0,-1.709,80,80.401
75.0,-1.709,61,60.806
85.0,-1.709,66,66.440
95.0,-1.709,89,89.427
105.0,-1.709,74,73.699
115.0,-1.709,200,200.010
125.0,-1.709,428,428.220
135.0,-1.709,424,423.730
145.0,-1.709,537,536.930
155.0,-1.709,408,407.580
165.0,-1.709,255,255.070
175.0,-1.709,300,300.460
185.0,-1.709,1158,1.158.400
190.0,-1.709,1158,1.158.400
200.0,-1.709,1158,1.158.400
15.0,-5.298,23,23.451
25.0,-5.298,199,198.580
35.0,-5.298,104,103.750
45.0,-5.298,24,23.988
55.0,-5.298,82,82.228
65.0,-5.298,95,95.165
75.0,-5.298,313,312.930
85.0,-5.298,319,319.310
95.0,-5.298,472,471.660
105.0,-5.298,1762,1.762.300
115.0,-5.298,333,332.650
125.0,-5.298,154,153.740
135.0,-5.298,376,376.320
145.0,-5.298,178,178.250
155.0,-5.298,560,559.650
165.0,-5.298,1430,1.429.900
175.0,-5.298,674,673.580
185.0,-5.298,106,106.400
15.0,-9.246,42,42.387
25.0,-9.246,9,8.715
35.0,-9.246,35,35.489
45.0,-9.246,46,45.648
55.0,-9.246,65,64.711
65.0,-9.246,58,57.578
75.0,-9.246,73,73.440
85.0,-9.246,103,102.990
95.0,-9.246,230,229.880
105.0,-9.246,325,325.280
115.0,-9.246,76,76.227
125.0,-9.246,198,197.540
135.0,-9.246,172,171.790
145.0,-9.246,508,507.860
155.0,-9.246,403,403.320
165.0,-9.246,184,183.990
175.0,-9.246,181,181.140
185.0,-9.246,114,113.660
25.0,-13.588,62,61.548
35.0,-13.588,75,74.599
45.0,-13.588,204,204.050
55.0,-13.588,93,92.763
65.0,-13.588,41,41.062
75.0,-13.588,25,25.151
85.0,-13.588,61,60.896
95.0,-13.588,38,37.696
105.0,-13.588,37,37.480
115.0,-13.588,24,24.010
125.0,-13.588,90,89.916
135.0,-13.588,64,63.849
145.0,-13.588,222,222.440
155.0,-13.588,79,79.481
165.0,-13.588,34,33.771
175.0,-13.588,108,107.900
35.0,-18.365,314,314.290
45.0,-18.365,729,729.040
55.0,-18.365,271,271.390
65.0,-18.365,87,87.006
75.0,-18.365,41,41.415
85.0,-18.365,80,80.184
95.0,-18.365,22,21.875
105.0,-18.365,19,18.984
115.0,-18.365,20,19.813
125.0,-18.365,41,41.497
135.0,-18.365,34,34.116
145.0,-18.365,71,70.512
155.0,-18.365,32,32.016
165.0,-18.365,56,55.804
45.0,-23.619,1891,1.890.700
55.0,-23.619,1094,1.094.000
65.0,-23.619,343,342.810
75.0,-23.619,171,170.770
85.0,-23.619,188,187.560
95.0,-23.619,74,74.136
105.0,-23.619,69,68.741
115.0,-23.619,48,48.410
125.0,-23.619,49,49.294
135.0,-23.619,46,45.644
145.0,-23.619,66,65.607
155.0,-23.619,73,73.487
55.0,-29.399,5131,5.131.400
65.0,-29.399,1833,1.832.800
75.0,-29.399,857,857.490
85.0,-29.399,671,670.680
95.0,-29.399,411,410.720
105.0,-29.399,290,289.570
115.0,-29.399,170,170.060
125.0,-29.399,139,138.740
135.0,-29.399,142,141.950
145.0,-29.399,200,199.710
65.0,-35.757,9988,9.987.900
75.0,-35.757,4074,4.073.700
85.0,-35.757,2670,2.669.800
95.0,-35.757,2012,2.012.100
105.0,-35.757,1231,1.231.100
115.0,-35.757,661,660.870
125.0,-35.757,521,520.720
135.0,-35.757,563,563.010
75.0,-42.751,17054,17.054.000
85.0,-42.751,10121,10.121.000
95.0,-42.751,8948,8.947.700
105.0,-42.751,4935,4.934.700
115.0,-42.751,2319,2.318.500
125.0,-42.751,1699,1.698.600
85.0,-50.444,31268,31.268.000
95.0,-50.444,38918,38.918.000
105.0,-50.444,19833,19.833.000
115.0,-50.444,5975,5.975.300
