X,Z,rho,std
120.0,0.0,338,338.270
130.0,0.0,338,338.270
135.0,0.0,338,338.270
145.0,0.0,311,310.580
155.0,0.0,281,280.860
165.0,0.0,417,416.980
175.0,0.0,257,256.630
185.0,0.0,209,209.490
195.0,0.0,226,225.950
205.0,0.0,242,242.100
215.0,0.0,2036,2.036.100
220.0,0.0,2036,2.036.100
230.0,0.0,2036,2.036.100
120.0,-2.5,338,338.270
125.0,-2.5,338,338.270
135.0,-2.5,338,338.270
145.0,-2.5,311,310.580
155.0,-2.5,281,280.860
165.0,-2.5,417,416.980
175.0,-2.5,257,256.630
185.0,-2.5,209,209.490
195.0,-2.5,226,225.950
205.0,-2.5,242,242.100
215.0,-2.5,2036,2.036.100
220.0,-2.5,2036,2.036.100
230.0,-2.5,2036,2.036.100
135.0,-7.5,114,114.490
145.0,-7.5,62,61.513
155.0,-7.5,1245,1.244.600
165.0,-7.5,435,434.990
175.0,-7.5,1171,1.170.900
185.0,-7.5,411,410.610
195.0,-7.5,84,83.513
205.0,-7.5,155,154.870
215.0,-7.5,67,66.724
145.0,-12.75,66,65.688
155.0,-12.75,5,4.667
165.0,-12.75,9,9.324
175.0,-12.75,17,16.586
185.0,-12.75,10,10.228
195.0,-12.75,114,113.720
205.0,-12.75,68,68.493
155.0,-18.525,127,126.690
165.0,-18.525,13,13.053
175.0,-18.525,18,18.391
185.0,-18.525,25,24.633
195.0,-18.525,93,93.269
155.0,-24.877,1291,1.291.200
165.0,-24.877,700,700.470
175.0,-24.877,1024,1.024.100
185.0,-24.877,619,619.370
195.0,-24.877,550,550.340
